service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
POW,1,1,1,1,1,0,0,20180305,20180623
POWZ,1,1,1,1,1,0,0,20180305,20180623
POWD,1,1,1,1,1,0,0,20180401,20180623
POWND,1,1,1,1,1,0,0,20180305,20180331
POWNLW_-20180307,1,1,1,1,1,0,0,20180305,20180307
POWNLW_20180308-,1,1,1,1,1,0,0,20180308,20180623
POWS,1,1,1,1,1,0,0,20180305,20180623
POWNLS,1,1,1,1,1,0,0,20180305,20180623
POWDNL,1,1,1,1,1,0,0,20180401,20180622
15SGD,1,0,0,0,1,0,0,20180305,20180623
234SGD,0,1,1,1,0,0,0,20180305,20180623
SOB,0,0,0,0,0,1,0,20180305,20180623
SOBND,0,0,0,0,0,1,0,20180305,20180331
NIE,0,0,0,0,0,0,1,20180305,20180623
NIEBN,0,0,0,0,0,0,1,20180305,20180623
NIEPW,0,0,0,0,0,0,1,20180623,20180623
NIEPR,0,0,0,0,0,0,1,20180305,20180623
NIEND,0,0,0,0,0,0,1,20180305,20180331
SWI,0,0,0,0,0,1,1,20180305,20180623
SWID,0,0,0,0,0,1,1,20180401,20180623
SWIND,0,0,0,0,0,1,1,20180305,20180331
SWINDB,0,0,0,0,0,1,1,20180305,20180331
SWBN,0,0,0,0,0,1,1,20180305,20180623
SWIDB,0,0,0,0,0,1,1,20180401,20180623
N,1,1,1,1,1,1,1,20180305,20180623
NCS,0,0,0,1,1,1,0,20180305,20180623
NNS,1,1,1,0,0,0,1,20180305,20180623
NS,0,0,0,0,0,1,0,20180305,20180623
NNP,1,1,1,1,1,0,1,20180305,20180623
NPS,0,0,0,0,1,1,0,20180305,20180623
