service_id,date,exception_type
NIEH,20180325,1
POWNS,20180329,1
234SGD,20180329,2
POWS,20180329,2
POWNS,20180330,1
15SGD,20180330,2
POWS,20180330,2
BN,20180401,1
NIEBN,20180401,1
SWBN,20180401,1
SWIDB,20180401,1
SWIND,20180401,1
NIE,20180401,2
NIEH,20180401,2
NIEPR,20180401,2
SWI,20180401,2
SWID,20180401,2
BN,20180402,1
NIEBN,20180402,1
SWBN,20180402,1
SWIDB,20180402,1
SWIND,20180402,1
15SGD,20180402,2
POW,20180402,2
POWD,20180402,2
POWDNL,20180402,2
POWNLS,20180402,2
POWNLW_20180308-,20180402,2
POWS,20180402,2
POWZ,20180402,2
POWNS,20180403,1
234SGD,20180403,2
POWS,20180403,2
NIEH,20180429,1
NIEH,20180506,1
NIEH,20180527,1
