"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","stop_url","location_type","parent_station","wheelchair_boarding"
1271,"1271","Kołłątaja 11-15","",53.443798,14.548237,"http://www.zditm.szczecin.pl/rozklady/",1,,
10111,"10111","Turzyn Dworzec 11","",53.428414,14.527251,"http://www.zditm.szczecin.pl/s10111",,,
10112,"10112","Turzyn Dworzec 12","",53.427956,14.529595,"http://www.zditm.szczecin.pl/s10112",,,
10211,"10211","Turzyn 11","",53.429218,14.531897,"http://www.zditm.szczecin.pl/s10211",,,
10212,"10212","Turzyn 12","",53.428561,14.531929,"http://www.zditm.szczecin.pl/s10212",,,1
10221,"10221","Turzyn 21","",53.427908,14.532659,"http://www.zditm.szczecin.pl/s10221",,,
10311,"10311","Bolesława Śmiałego 11","",53.427642,14.535148,"http://www.zditm.szczecin.pl/s10311",,,
10412,"10412","Plac Kościuszki 12","",53.427574,14.537168,"http://www.zditm.szczecin.pl/s10412",,,1
10421,"10421","Plac Kościuszki 21","",53.427121,14.537776,"http://www.zditm.szczecin.pl/s10421",,,
10422,"10422","Plac Kościuszki 22","",53.426930,14.538023,"http://www.zditm.szczecin.pl/s10422",,,
10431,"10431","Plac Kościuszki 31","",53.426332,14.536934,"http://www.zditm.szczecin.pl/s10431",,,
10432,"10432","Plac Kościuszki 32","",53.425971,14.537406,"http://www.zditm.szczecin.pl/s10432",,,
10433,"10433","Plac Kościuszki 33","",53.425632,14.536638,"http://www.zditm.szczecin.pl/s10433",,,
10434,"10434","Plac Kościuszki 34","",53.426620,14.536864,"http://www.zditm.szczecin.pl/s10434",,,1
10435,"10435","Plac Kościuszki 35","",53.426415,14.536534,"http://www.zditm.szczecin.pl/s10435",,,
10441,"10441","Plac Kościuszki 41","",53.426968,14.536140,"http://www.zditm.szczecin.pl/s10441",,,1
10442,"10442","Plac Kościuszki 42","",53.426846,14.535754,"http://www.zditm.szczecin.pl/s10442",,,
10451,"10451","Plac Kościuszki 51","",53.427364,14.536006,"http://www.zditm.szczecin.pl/s10451",,,
10511,"10511","Krzywoustego 11","",53.426898,14.539386,"http://www.zditm.szczecin.pl/s10511",,,
10611,"10611","Łokietka 11","",53.425258,14.541832,"http://www.zditm.szczecin.pl/s10611",,,
10711,"10711","Plac Zwycięstwa 11","",53.425670,14.548285,"http://www.zditm.szczecin.pl/s10711",,,
10721,"10721","Plac Zwycięstwa 21","",53.425293,14.547416,"http://www.zditm.szczecin.pl/s10721",,,
10731,"10731","Plac Zwycięstwa 31","",53.425082,14.546469,"http://www.zditm.szczecin.pl/s10731",,,
10812,"10812","Brama Portowa 12","",53.425482,14.551069,"http://www.zditm.szczecin.pl/s10812",,,1
10813,"10813","Brama Portowa 13","",53.425418,14.551150,"http://www.zditm.szczecin.pl/s10813",,,1
10814,"10814","Brama Portowa 14","",53.425480,14.551394,"http://www.zditm.szczecin.pl/s10814",,,
10821,"10821","Brama Portowa 21","",53.424900,14.551644,"http://www.zditm.szczecin.pl/s10821",,,1
10822,"10822","Brama Portowa 22","",53.424850,14.551621,"http://www.zditm.szczecin.pl/s10822",,,1
10823,"10823","Brama Portowa 23","",53.424651,14.551893,"http://www.zditm.szczecin.pl/s10823",,,1
10831,"10831","Brama Portowa 31","",53.424464,14.550888,"http://www.zditm.szczecin.pl/s10831",,,1
10832,"10832","Brama Portowa 32","",53.424478,14.550810,"http://www.zditm.szczecin.pl/s10832",,,1
10833,"10833","Brama Portowa 33","",53.424158,14.550541,"http://www.zditm.szczecin.pl/s10833",,,
10842,"10842","Brama Portowa 42","",53.425162,14.549605,"http://www.zditm.szczecin.pl/s10842",,,
10843,"10843","Brama Portowa 43","",53.425210,14.549610,"http://www.zditm.szczecin.pl/s10843",,,
10911,"10911","Wyszyńskiego 11","",53.423215,14.558365,"http://www.zditm.szczecin.pl/s10911",,,
10912,"10912","Wyszyńskiego 12","",53.423346,14.558118,"http://www.zditm.szczecin.pl/s10912",,,
10913,"10913","Wyszyńskiego 13","",53.423474,14.557861,"http://www.zditm.szczecin.pl/s10913",,,
10914,"10914","Wyszyńskiego 14","",53.423086,14.558878,"http://www.zditm.szczecin.pl/s10914",,,
10915,"10915","Wyszyńskiego 15","",53.423277,14.558665,"http://www.zditm.szczecin.pl/s10915",,,
10916,"10916","Wyszyńskiego 16","",53.423271,14.558998,"http://www.zditm.szczecin.pl/s10916",,,
10917,"10917","Wyszyńskiego 17","",53.423391,14.558781,"http://www.zditm.szczecin.pl/s10917",,,
10918,"10918","Wyszyńskiego 18","",53.423510,14.558532,"http://www.zditm.szczecin.pl/s10918",,,
10921,"10921","Wyszyńskiego 21","",53.423058,14.559835,"http://www.zditm.szczecin.pl/s10921",,,
10922,"10922","Wyszyńskiego 22","",53.422865,14.560218,"http://www.zditm.szczecin.pl/s10922",,,
10931,"10931","Wyszyńskiego 31","",53.422346,14.558848,"http://www.zditm.szczecin.pl/s10931",,,
10932,"10932","Wyszyńskiego 32","",53.422528,14.558858,"http://www.zditm.szczecin.pl/s10932",,,
11011,"11011","Grodzka 11","",53.425168,14.556584,"http://www.zditm.szczecin.pl/s11011",,,
11111,"11111","Tkacka 11","",53.425175,14.552475,"http://www.zditm.szczecin.pl/s11111",,,
11112,"11112","Tkacka 12","",53.425232,14.553553,"http://www.zditm.szczecin.pl/s11112",,,
11311,"11311","Plac Żołnierza Polskiego 11","",53.429388,14.553387,"http://www.zditm.szczecin.pl/s11311",,,
11312,"11312","Plac Żołnierza Polskiego 12","",53.429205,14.553446,"http://www.zditm.szczecin.pl/s11312",,,
11321,"11321","Plac Żołnierza Polskiego 21","",53.428710,14.553832,"http://www.zditm.szczecin.pl/s11321",,,
11331,"11331","Plac Żołnierza Polskiego 31","",53.428320,14.552544,"http://www.zditm.szczecin.pl/s11331",,,
11332,"11332","Plac Żołnierza Polskiego 32","",53.428358,14.552421,"http://www.zditm.szczecin.pl/s11332",,,
11411,"11411","Filharmonia 11","",53.430126,14.557335,"http://www.zditm.szczecin.pl/s11411",,,
11412,"11412","Filharmonia 12","",53.430321,14.557485,"http://www.zditm.szczecin.pl/s11412",,,
11511,"11511","Plac Rodła 11","",53.432369,14.554610,"http://www.zditm.szczecin.pl/s11511",,,
11521,"11521","Plac Rodła 21","",53.431689,14.556198,"http://www.zditm.szczecin.pl/s11521",,,
11522,"11522","Plac Rodła 22","",53.431622,14.557147,"http://www.zditm.szczecin.pl/s11522",,,
11523,"11523","Plac Rodła 23","",53.431542,14.557008,"http://www.zditm.szczecin.pl/s11523",,,
11524,"11524","Plac Rodła 24","",53.431679,14.555624,"http://www.zditm.szczecin.pl/s11524",,,
11525,"11525","Plac Rodła 25","",53.431363,14.556530,"http://www.zditm.szczecin.pl/s11525",,,
11526,"11526","Plac Rodła 26","",53.431296,14.556943,"http://www.zditm.szczecin.pl/s11526",,,
11532,"11532","Plac Rodła 32","",53.430289,14.554170,"http://www.zditm.szczecin.pl/s11532",,,1
11534,"11534","Plac Rodła 34","",53.431302,14.554535,"http://www.zditm.szczecin.pl/s11534",,,
11535,"11535","Plac Rodła 35","",53.431149,14.554213,"http://www.zditm.szczecin.pl/s11535",,,
11541,"11541","Plac Rodła 41","",53.431861,14.553258,"http://www.zditm.szczecin.pl/s11541",,,
11542,"11542","Plac Rodła 42","",53.431845,14.554079,"http://www.zditm.szczecin.pl/s11542",,,
11543,"11543","Plac Rodła 43","",53.431999,14.553832,"http://www.zditm.szczecin.pl/s11543",,,
11611,"11611","Plac Grunwaldzki 11","",53.432724,14.548462,"http://www.zditm.szczecin.pl/s11611",,,
